i,T,Qmin
1017,1.488924,14.0
1018,1.488924,14.0
1019,1.488924,14.0
1020,1.488924,14.0
1021,1.488924,14.0
1022,1.488924,14.0
1023,1.488924,14.0
1024,1.488924,14.0
1025,1.488924,14.0
1026,1.488924,14.0
1027,1.488924,14.0
1028,1.488924,14.0
1029,1.488924,14.0
1030,1.488924,14.0
1031,1.488924,14.0
1032,1.488924,14.0
1033,1.488924,14.0
1034,1.488924,14.0
1035,1.488924,14.0
1036,1.488924,14.0
1037,1.488924,14.0
1038,1.488924,14.0
1039,1.488924,14.0
1040,1.488924,14.0
1041,1.488924,14.0
1042,1.488924,14.0
1043,1.488924,14.0
1044,1.488924,14.0
1045,1.488924,14.0
1046,1.488924,14.0
1047,1.488924,14.0
1048,1.488924,14.0
1049,1.488924,14.0
1050,1.488924,14.0
1051,1.488924,14.0
1052,1.488924,14.0
1053,1.488924,14.0
1054,1.488924,14.0
1055,1.488924,14.0
1056,1.488924,14.0
1057,1.488924,14.0
1058,1.488924,14.0
1059,1.488924,14.0
1060,1.488924,14.0
1061,1.488924,14.0
1062,1.488924,14.0
1063,1.488924,14.0
1064,1.488924,14.0
1065,1.488924,14.0
1066,1.488924,14.0
1067,1.488924,14.0
1068,1.488924,14.0
1069,1.488924,14.0
1070,1.488924,14.0
1071,1.488924,14.0
1072,1.488924,14.0
1073,1.488924,14.0
1074,1.488924,14.0
1075,1.488924,14.0
1076,1.488924,14.0
1077,1.488924,14.0
1078,1.488924,14.0
1079,1.488924,14.0
1080,1.488924,14.0
1081,1.488924,14.0
1082,1.488924,14.0
1083,1.488924,14.0
1084,1.488924,14.0
1085,1.488924,14.0
1086,1.488924,14.0
1087,1.488924,14.0
1088,1.488924,14.0
1089,1.488924,14.0
1090,1.488924,14.0
1091,1.488924,14.0
1092,1.488924,14.0
1093,1.488924,14.0
1094,1.488924,14.0
1095,1.488924,14.0
1096,1.488924,14.0
1097,1.488924,14.0
1098,1.488924,14.0
1099,1.474035,14.0
1100,1.474035,14.0
1101,1.474035,14.0
1102,1.474035,14.0
1103,1.474035,14.0
1104,1.474035,14.0
1105,1.474035,14.0
1106,1.474035,14.0
1107,1.474035,14.0
1108,1.474035,14.0
1109,1.474035,14.0
1110,1.474035,14.0
1111,1.474035,14.0
1112,1.474035,14.0
1113,1.474035,14.0
1114,1.474035,14.0
1115,1.474035,14.0
1116,1.474035,14.0
1117,1.474035,14.0
1118,1.474035,14.0
1119,1.474035,14.0
1120,1.474035,14.0
1121,1.474035,14.0
1122,1.474035,14.0
1123,1.474035,14.0
1124,1.474035,14.0
1125,1.474035,14.0
1126,1.474035,14.0
1127,1.474035,14.0
1128,1.474035,14.0
1129,1.474035,14.0
1130,1.474035,14.0
1131,1.474035,14.0
1132,1.474035,14.0
1133,1.474035,14.0
1134,1.474035,14.0
1135,1.474035,14.0
1136,1.474035,14.0
1137,1.474035,14.0
1138,1.474035,14.0
1139,1.474035,14.0
1140,1.474035,14.0
1141,1.474035,14.0
1142,1.474035,14.0
1143,1.474035,14.0
1144,1.474035,14.0
1145,1.474035,14.0
1146,1.474035,14.0
1147,1.474035,14.0
1148,1.474035,14.0
1149,1.474035,14.0
1150,1.474035,14.0
1151,1.474035,14.0
1152,1.474035,14.0
1153,1.474035,14.0
1154,1.474035,14.0
1155,1.474035,14.0
1156,1.474035,14.0
1157,1.474035,14.0
1158,1.474035,14.0
1159,1.474035,14.0
1160,1.474035,14.0
1161,1.474035,14.0
1162,1.474035,14.0
1163,1.474035,14.0
1164,1.474035,14.0
1165,1.474035,14.0
1166,1.474035,14.0
1167,1.474035,14.0
1168,1.474035,14.0
1169,1.474035,14.0
1170,1.474035,14.0
1171,1.474035,14.0
1172,1.474035,14.0
1173,1.474035,14.0
1174,1.474035,14.0
1175,1.474035,14.0
1176,1.474035,14.0
1177,1.474035,14.0
1178,1.474035,14.0
1179,1.474035,14.0
1180,1.474035,14.0
1181,1.474035,14.0
1182,1.474035,14.0
1183,1.474035,14.0
1184,1.474035,14.0
1185,1.474035,14.0
1186,1.474035,14.0
1187,1.474035,14.0
1188,1.474035,14.0
1189,1.474035,14.0
1190,1.474035,14.0
1191,1.474035,14.0
1192,1.474035,14.0
1193,1.474035,14.0
1194,1.474035,14.0
1195,1.474035,14.0
1196,1.474035,14.0
1197,1.474035,14.0
1198,1.474035,14.0
1199,1.474035,14.0
1200,1.474035,14.0
1201,1.474035,14.0
1202,1.474035,14.0
1203,1.474035,14.0
1204,1.474035,14.0
1205,1.474035,14.0
1206,1.474035,14.0
1207,1.474035,14.0
1208,1.474035,14.0
1209,1.474035,14.0
1210,1.474035,14.0
1211,1.474035,14.0
1212,1.474035,14.0
1213,1.474035,14.0
1214,1.474035,14.0
1215,1.474035,14.0
1216,1.474035,14.0
1217,1.474035,14.0
1218,1.474035,14.0
1219,1.474035,14.0
1220,1.474035,14.0
1221,1.474035,14.0
1222,1.474035,14.0
1223,1.474035,14.0
1224,1.474035,14.0
1225,1.474035,14.0
1226,1.474035,14.0
1227,1.474035,14.0
1228,1.474035,14.0
1229,1.474035,14.0
1230,1.474035,14.0
1231,1.474035,14.0
1232,1.474035,14.0
1233,1.474035,14.0
1234,1.474035,14.0
1235,1.474035,14.0
1236,1.474035,14.0
1237,1.474035,14.0
1238,1.474035,14.0
1239,1.474035,14.0
1240,1.474035,14.0
1241,1.474035,14.0
1242,1.474035,14.0
1243,1.474035,14.0
1244,1.474035,14.0
1245,1.474035,14.0
